imaiva,left meaning,right meaning,
pi,agent,wanted/valued/desired,-pi = well
pli,probable,betting odds,
pai,goal/ends/purpose,need/strategy,
pa,person,personality,
papa,socialite,extroverted,
panpa,hermit,introverted,
panu,child,childish,
panunu,baby,infantile,
pu,thinker/believer/knower,belief/concept/knowledge/thought,
pau,emotional,emotion,
pauvau,happy,happiness,
pautvu,hopeful,hope,
pauvi,grateful,gratitude,
bi,reciever/sensor/you,aquisition/gift/sensation,
bikda,consumer,food/fuel/drink,
birgli,viewer/looker/watcher,seen/watched,
bli,subdivided,piece/part,
bai,container/vessel/vehicle,inner,
baiku,boat/ship/raft,passenger/crew/cargo,
ba,area/territory,border/barrier/edge/distance/length,
babi,marketplace,edge of market,
baki,home,edge of home,
bakai,kitchen/restaurant/cafeteria,edge of kitchen,
baka,wilderness/countryside,farmland/rural/borderland,
baku,restroom,edge of restroom,
baga,power plant,edge of power plant,
bagu,road,sidewalk/curb,
bani,dormitory/bedroom/hotel,edge of dormitory,
bami,library,edge of library,
barmau,museum,edge of museum,
bafi,workplace/office,edge of workplace,
bafa,factory/studio/workshop,edge of factory,
bafau,bank,edge of bank,
bafla,park/arcade/stadium/casino/playground,edge of park,
basfla,school/campus,edge of school,
bavzi,church,edge of church,
bavai,shelter/bunker,wall/roof,
bava,town/city/village,outskirts/suburbs/city limit/edge of town,
bavanu,village/town/hamlet,edge of town,
bavadu,city/metropolis,edge of city,
bapdau,prison/jail,prison/jail/cage/cell/wall,
bla,surface/shape,appearance/flavor,
bu,place/location,entity/landmark/site,
buva,meeting place/schelling point,historic site/cultural site/constructed landmark,
bursh favgla,concert/recital,band/orchestra,
blu,simple/basic/ordered/logical,structure/pattern,
blursli,simpler/neater,simplification,
bau,time/era,duration/period,
ti,empty/open/vacant,absent/missing/lost,
tai,free/unrestrained,obstacle/limit,
ta,up/sky/air/space/heaven,weather/celestial body,
tadai,vertical,spire/tower/post/lighthouse/beacon,
tati,clear sky,calm weather,
taku,cloud,cloudy,
takuni,storm,precipitation/rain/snow/sleet,
targi,wind,windy,
targai,windstorm,very windy,
tu,previous/older/before,next/newer/after,
tuzai,oldest,youngest,
tuma,left,right,
tudu,above,below,
tutu,behind,in front of,
tukau,counter-clockwise/anti-clockwise/widdershins,clockwise,
tau,here/now/closer,there/then/further,laitau = near
tautu,now and before,a long time in the future,
di,armor/shell/shield/bone,stiff/hard,
dai,line/path/rod,straight,
daiku,river/stream/brook,fluvial,
daidai,corner/angle/intersection,orthoginal/angled,
da,thing/object/it,substance/matter,
du,body/weight/mass,big/heavy,
