imaivla,meaning,,,,,
i-,left mode,,,,,Association Patterns
u-,right mode,,,,,a (b (c d))
hal-,open paren (with -th suffix),,,,,a ((b c) d)
-r,flip orientation,,,,,(a b) (c d)
-ri,set orientation left,,,,,((a b) c) d
-ru,set orientation right,,,,,(a (b c)) d
-sh,large augment,,,,,
-rsh,"large, flipped augment",,,,,
shi,close large augment,,,,,
sha,associate,,,,,
shash,big associate,,,,,
shu,overlap,,,,,
li,subject,(verb),,,,
la,verb,(subject),,,,
lua,verb,(object),,,,
lu,object,(verb),,,,
lish,abstract subject,(verb),,,,
lush,abstract object,(verb),,,,
lash,close abstract noun,,,,,
lai-,preposition,(verb),,,,
lau,complex preposition,(verb),,,,
chai,declaration,,,,,
chia,perspective,,,,,
chui,command,,,,,
chiu,request,,,,,
chua,object-level question,,,,,
chau,meta-level question,,,,,
-th,foreign text,,,,,
tha,proper noun,,,,,
th__,pronoun,,,,,
hi,positive,,,,,
hai,aroused,,,,,
ha,calm,,,,,
hu,negative,,,,,
hau,confused,,,,,
hia,unconfused,,,,,
himvi,grateful,,,,,
hibva,welcoming,,,,,
hitvu,hopeful,,,,,
