imaiva,left meaning,right meaning,verb hint,notes,relateds,opposites
pi,agent,wanted/valued/desired,want/value/desire,-pi = well,,
pisli,judge/preferer,preference/favorite,prefer/like/favor,,,
pli,probable,betting odds,has odds,,,
pai,goal/ends/purpose,need/strategy,can be achieved through,,,
pa,person,personality/personal,,,,
papa,socialite,extroverted,,,,
panpa,hermit,introverted,,,,
panu,child,childish,,,,
panunu,baby,infantile,,,,
pavu,hero,heroism,,,,
panai,assailant/fighter/attacker,violent/aggressive,,,,
pavnai,warrior/soldier/fighter/troops/army,millitaristic/brave,,,,
pabku,sailor/seaman/mariner,sailorly,,,,
patu,elder/old person,youthful outlook,,verb is what personality someone used to have,,
pu,thinker/believer/knower,belief/concept/knowledge/thought/idea,think/believe/know,,,
puvu,wise,wisdom,,,,
pau,emotional,emotion,feel,,,
pauvu,happy/pleased/good/positive,happiness/pleasantness/agreeableness/positivity,,,,
pauvau,happy/joyous/serene/pleased,happiness/joy/serenity/pleasantness,,,,
pauni,unhappy/displeased/bad/negative,unhappiness/displeasedness/displeasure/negativity,,,,
pauvai,careful/watchful/alert,care/concern/alertness,,,,
paupivi,fond/lover,fondness/love/affinity/liked,,,,
pautvu,hopeful,hope,,,,
pauvi,grateful,gratitude,,,,
bi,reciever/sensor/you/recipient/obtainer/collector,aquisition/gift/sensation,get/recieve/take/sense/obtain/aquire/listen/read,,,
bipu,learner/student,knowledge/lesson/idea/subject,learn/study,,,
bidau,catcher/trapper,caught/trapped/snatched/nabbed/pinned,catch/trap/snatch/nab/pin,,,
bikda,consumer/eater/drinker,food/fuel/drink,eat/drink,,,
bikdabsai,breakfaster,breakfast,,,,
birgli,viewer/looker/watcher,seen/watched,see/watch,,,
birgla,listener/hearer,heard/listened to,listen/hear,,,
bish daklu,dresser/clothed/wearer,clothing,wear/dress,,,
bli,subdivided/product,piece/part/factor/component,can be split into,,,
bai,container/outside/around/vessel/vehicle,inner,contains/has,,,
bairku,pitcher/jug/barrel/bottle,water/liquid,,,,
baiku,boat/ship/raft,passenger/crew/cargo,,,,
baidai,basket,basket contents,,,,
baidu,filled/full,stuffing/contents,,,,
ba,area/territory/country,border/barrier/edge/distance/length,,,,
bada,body/trunk,rim/edge/tip,,,,
barfu,property/land/parcel/owned area,fence,,,,
babi,marketplace,edge of market,,,,
baki,home,edge of home,,,,
bakinu,hut/hovel/apartment/small home/cottage,edge of hut,,,,
bakai,kitchen/restaurant/cafeteria,edge of kitchen,,,,
baka,wilderness,farmland/rural/borderland/countryside,,,,
bakatai,plains/meadow,pature,,,,
bati,room,wall/edge of room,,,,
baku,restroom/bathroom/bath/pool,edge of restroom/edge of bath/edge of pool,,,,
bakudu,pool/swimming pool/hot tub/bath,edge of pool/edge of tub,,,,
baga,power plant,edge of power plant,,,,
bagu,road/street/avenue,sidewalk/curb,,,,
bani,dormitory/bedroom/hotel,edge of dormitory,,,,
bami,library,edge of library,,,,
barmau,museum,edge of museum,,,,
bamu,living room/sitting room/recieving room/town hall/meeting room,edge of meeting room/edge of living room,,,,
bafi,workplace/office,edge of workplace,,,,
bafa,factory/studio/workshop,edge of factory,,,,
bafau,bank,edge of bank,,,,
bafla,park/arcade/stadium/casino/playground,edge of park,,,,
basfla,school/campus,edge of school,,,,
bazi,universe,edge of the universe/big bang,,,,
bavzi,church,edge of church,,,,
bavai,shelter/bunker,wall/roof,,,,
bava,town/city/village,outskirts/suburbs/city limit/edge of town,,,,
bavanu,village/town/hamlet,edge of town,,,,
bavadu,city/metropolis,edge of city,,,,
badau,floor/stage,edge of floor,,,,
bapdau,prison/jail,prison/jail/cage/cell/wall,,,,
bash dadu,mountain,base of mountain,,,,
badta,hill,base of hill,,,,
badtana,valley,edge of valley,,,,
bla,surface/shape/entity,appearance/flavor,seem/look,,,
bu,place/location,entity/landmark/site,has/contain,,,
buva,meeting place/schelling point,historic site/cultural site/constructed landmark,,,,
bursh favgla,concert/recital,band/orchestra,,,,
blu,simple/basic/ordered/logical,structure/pattern,follows/is ordered by,,,
blursli,simpler/neater,simplification,,,,
bau,time/era/period,duration/temporal window/temporal anchor/event/focus,happens for/happens during/happens around,see philo_tense,,
ti,empty/open/vacant/hollow/spacious,absent/missing/lost/removed,lack/miss,,,
